Server 15
elapsed,portnumber,cwnd,ssthresh,rtt
93.9966328144,5001,1,1312,8852.51/21.302
93.997854948,5001,883,782,1963.4/4.884
93.9981188774,5001,1234,1219,3026.2/126.072
93.9983828068,5001,1,1058,8698.8/111.872
93.9986598492,5001,1,740,8744.2/208.072
96.0215308666,5001,1,1312,8852.51/21.302
96.0230448246,5001,1007,782,3431.52/6.3
96.0233500004,5001,1332,1219,3210.01/17.88
96.0236928463,5001,1,1058,8698.8/111.872
96.0240139961,5001,1,740,8744.2/208.072
98.0476098061,5001,1,1312,8852.51/21.302
98.048913002,5001,1093,782,4044.61/26.834
98.0492098331,5001,1472,1219,5070.03/32.111
98.0495250225,5001,1,1058,8698.8/111.872
98.0498418808,5001,1,740,8744.2/208.072
100.072807789,5001,1,1312,8852.51/21.302
100.074206829,5001,1254,782,4811.82/12.296
100.074529886,5001,1577,1219,4568.1/14.109
100.07483983,5001,1,1058,8698.8/111.872
100.075150967,5001,1,740,8744.2/208.072
102.098380804,5001,1,1312,8852.51/21.302
102.099250793,5001,1522,782,5461.28/15.753
102.099522829,5001,1577,1219,4568.1/14.109
102.099812984,5001,1,1058,8698.8/111.872
102.10007596,5001,1,740,8744.2/208.072
104.12220192,5001,1,1312,8852.51/21.302
104.123569012,5001,1635,782,5694.51/72.05
104.123835802,5001,1662,1219,5435.04/20.74
104.124106884,5001,1,1058,8698.8/111.872
104.12436986,5001,1,740,8744.2/208.072
106.146869898,5001,1,1312,8852.51/21.302
106.148223877,5001,1822,782,6207.17/19.259
106.148535967,5001,1684,1219,5866.27/28.569
106.148839951,5001,1,1058,8698.8/111.872
106.149130821,5001,1,740,8744.2/208.072
108.171525955,5001,1,1312,8852.51/21.302
108.172695875,5001,1960,782,6221.74/27.612
108.17297101,5001,1684,1219,5866.27/28.569
108.173249006,5001,1,1058,8698.8/111.872
108.17351985,5001,1,740,8744.2/208.072
110.196412802,5001,1,1312,8852.51/21.302
110.19783783,5001,2194,782,5650.49/56.488
110.198156834,5001,1763,1219,5132.54/24.731
110.198468924,5001,1,1058,8698.8/111.872
110.198781967,5001,1,740,8744.2/208.072
112.221535921,5001,1,1312,8852.51/21.302
112.222831011,5001,2194,782,5379.49/0.59
112.223143816,5001,1884,1219,6402.51/20.141
112.223442793,5001,1,1058,8698.8/111.872
112.223819971,5001,1,740,8744.2/208.072
114.246907949,5001,1,1312,8852.51/21.302
114.248250961,5001,2194,782,4450.49/903.852
114.248564005,5001,1884,1219,6402.51/20.141
114.248884916,5001,1,1058,8698.8/111.872
114.249181986,5001,1,740,8744.2/208.072
116.272104979,5001,1,1312,8852.51/21.302
116.273396969,5001,2194,782,5274.89/21.07
116.273713827,5001,2345,1219,5693.97/2.503
116.274032831,5001,1,1058,8698.8/111.872
116.274343967,5001,1,740,8744.2/208.072
118.296622992,5001,1,1312,8852.51/21.302
118.297802925,5001,2194,782,4774.77/0.686
118.298084021,5001,2345,1219,5516.6/0.607
118.298350811,5001,1,1058,8698.8/111.872
118.298622847,5001,1,740,8744.2/208.072
120.320805788,5001,1,1312,8852.51/21.302
120.321892023,5001,2345,1219,2857.95/114.159
120.322201014,5001,1,1058,8698.8/111.872
120.322496891,5001,1,740,8744.2/208.072
