1529268752.464406000,172.16.9.1,172.16.4.1
1529268752.464495000,172.16.4.1,172.16.9.1
1529268752.464551000,172.16.9.1,172.16.4.1
1529268752.464692000,172.16.9.1,172.16.4.1
1529268752.464834000,172.16.9.1,172.16.4.1
1529268752.465462000,172.16.9.1,172.16.4.1
1529268752.465662000,172.16.9.1,172.16.4.1
1529268752.467244000,172.16.9.1,172.16.4.1
1529268752.467462000,172.16.9.1,172.16.4.1
1529268752.467538000,172.16.4.1,172.16.9.1
1529268752.467614000,172.16.9.1,172.16.4.1
1529268752.467767000,172.16.9.1,172.16.4.1
1529268752.467916000,172.16.9.1,172.16.4.1
1529268752.468061000,172.16.9.1,172.16.4.1
1529268752.468722000,172.16.9.1,172.16.4.1
1529268752.468886000,172.16.9.1,172.16.4.1
1529268752.470460000,172.16.9.1,172.16.4.1
1529268752.470539000,172.16.4.1,172.16.9.1
1529268752.470619000,172.16.9.1,172.16.4.1
1529268752.470763000,172.16.9.1,172.16.4.1
1529268752.470970000,172.16.9.1,172.16.4.1
1529268752.471117000,172.16.9.1,172.16.4.1
1529268752.471263000,172.16.9.1,172.16.4.1
1529268752.471946000,172.16.9.1,172.16.4.1
1529268752.472115000,172.16.9.1,172.16.4.1
1529268752.472260000,172.16.9.1,172.16.4.1
1529268752.473785000,172.16.4.1,172.16.9.1
1529268752.473837000,172.16.9.1,172.16.4.1
1529268752.474000000,172.16.9.1,172.16.4.1
1529268752.474146000,172.16.9.1,172.16.4.1
1529268752.474291000,172.16.9.1,172.16.4.1
1529268752.474435000,172.16.9.1,172.16.4.1
1529268752.474962000,172.16.9.1,172.16.4.1
1529268752.475122000,172.16.9.1,172.16.4.1
1529268752.475270000,172.16.9.1,172.16.4.1
1529268752.475418000,172.16.9.1,172.16.4.1
1529268752.477028000,172.16.4.1,172.16.9.1
1529268752.477910000,172.16.9.1,172.16.4.1
1529268752.478921000,172.16.9.1,172.16.4.1
1529268752.480031000,172.16.4.1,172.16.9.1
1529268752.482822000,172.16.9.1,172.16.4.1
1529268752.483266000,172.16.4.1,172.16.9.1
1529268752.484713000,172.16.9.1,172.16.4.1
1529268752.484882000,172.16.9.1,172.16.4.1
1529268752.485054000,172.16.9.1,172.16.4.1
1529268752.485199000,172.16.9.1,172.16.4.1
1529268752.485341000,172.16.9.1,172.16.4.1
1529268752.485528000,172.16.9.1,172.16.4.1
1529268752.485676000,172.16.9.1,172.16.4.1
1529268752.486009000,172.16.4.1,172.16.9.1
1529268752.486273000,172.16.9.1,172.16.4.1
1529268752.486475000,172.16.9.1,172.16.4.1
1529268752.486622000,172.16.9.1,172.16.4.1
